XM_026971221.1	LOC105288151
XM_011332667.3	LOC105275643
XM_011332344.3	LOC105275462
XM_011332226.3	LOC105275391
XM_020031004.2	LOC105274977
XM_020030948.2	LOC105275073
XM_020034426.2	LOC105278416
XM_011331914.3	LOC105275197
XM_020030871.2	LOC105278343
XM_011331426.3	LOC105274909
XM_011331316.1	LOC105274832
XM_011331029.3	LOC105274676
XM_020030676.2	LOC105274599
XM_011330655.3	LOC105288189
XM_011330786.2	LOC105274524
XM_026968303.1	LOC105288120
XM_011353624.3	LOC105287749
XM_011353213.3	LOC105287562
XM_011353420.2	LOC105287639
XM_011353095.2	LOC105287290
XM_011352107.2	LOC105286636
XM_026968476.1	LOC113561684
XM_011336820.1	LOC105278006
XM_026968477.1	LOC113561685
XM_026968478.1	LOC113561686
XM_026968479.1	LOC105280829
XM_026968304.1	LOC105277468
XM_011335847.3	LOC105277473
XM_020031045.2	LOC105277471
XM_011335842.3	LOC105277470
XM_011335839.3	LOC105277469
XM_011335848.3	LOC105277474
XM_011335852.3	LOC105277475
XM_020031027.1	LOC105277507
XM_011335857.3	LOC105277478
XM_011335858.3	LOC105277479
XM_020031050.1	LOC105277480
XM_011335861.3	LOC105277481
XM_011335862.3	LOC105277482
XM_011335870.3	LOC105277485
XM_011335867.3	LOC105277484
XM_011335864.3	LOC105277483
XM_026968370.1	LOC105277488
XM_011335877.3	LOC105277490
XM_011335879.3	LOC105277492
XM_026968273.1	LOC105277494
XM_026968481.1	LOC105277495
XM_011335885.3	LOC105277497
XM_011335890.3	LOC105277500
XM_026968444.1	LOC105277510
XM_026968215.1	LOC105275437
XM_026968213.1	LOC105275417
XM_026968482.1	LOC105275418
XM_026968085.1	LOC105275420
XM_011332237.2	LOC105275422
XM_020030375.1	LOC105275423
XM_011332238.3	LOC105275424
XM_011332262.3	LOC105275438
XM_011332239.3	LOC105275425
XM_011332243.2	LOC105275426
XM_011332248.3	LOC105275432
XM_026968296.1	LOC113561638
XM_011332251.3	LOC105275433
XM_011332253.3	LOC105275434
XM_020030373.2	LOC105275436
XM_011350531.3	LOC105285959
XM_011350533.2	LOC105285960
XM_011336976.2	LOC105278125
XM_026968641.1	LOC105278120
XM_011336960.3	LOC105278118
XM_011336962.3	LOC105278119
XM_011336965.3	LOC105278121
XM_026968640.1	LOC105278122
XM_011336970.3	LOC105278124
XM_026968327.1	LOC105278117
XM_011336955.3	LOC105278115
XM_011336953.3	LOC105278114
XM_011336949.3	LOC105278112
XM_011336945.3	LOC105278111
XM_026968488.1	LOC105278110
XM_026968150.1	LOC113561616
XM_011336937.3	LOC105278109
XM_011336935.3	LOC105278108
XM_011336891.3	LOC105278071
XM_011336892.3	LOC105278072
XM_026968489.1	LOC113561688
XM_011336894.3	LOC105278074
XM_011336895.3	LOC105278075
XM_026968490.1	LOC113561689
XM_026968491.1	LOC113561690
XM_026968492.1	LOC113561691
XM_011343442.3	LOC105281889
XM_011343445.3	LOC105281892
XM_026968493.1	LOC105281887
XM_026968292.1	LOC113561636
XM_026968494.1	LOC113561692
XM_026968512.1	LOC113561693
XM_026968426.1	LOC113561676
XM_026968316.1	LOC105285942
XM_011350511.3	LOC105285940
XM_026968253.1	LOC105280914
XM_026968263.1	LOC105280915
XM_026968258.1	LOC105285693
XM_011350061.3	LOC105285690
XM_011350063.2	LOC105285691
XM_026968300.1	LOC105285689
XM_026968318.1	LOC113561642
XM_026968515.1	LOC105279385
XM_026968611.1	LOC105278602
XM_011337807.3	LOC105278600
XM_020031387.2	LOC109610920
XM_020031386.2	LOC105278603
XM_020031388.2	LOC105278604
XM_026968317.1	LOC113561641
XM_026968522.1	LOC113561695
XM_026968651.1	LOC105281885
XM_011337812.2	LOC105278605
XM_026968523.1	LOC113561697
XM_020031390.2	LOC105278607
XM_020031389.2	LOC105278606
XM_026968524.1	LOC113561699
XM_026968532.1	LOC113561700
XM_011338342.2	LOC105278900
XM_026968565.1	LOC113561701
XM_011338343.2	LOC105278901
XM_011338344.2	LOC105278902
XM_026968595.1	LOC113561703
XM_026968596.1	LOC113561704
XM_026968605.1	LOC113561706
XM_026968606.1	LOC113561707
XM_026968609.1	LOC113561708
XM_026968610.1	LOC113561710
XM_026968616.1	LOC113561712
XM_026968625.1	LOC113561716
XM_026968626.1	LOC113561717
XM_026968395.1	LOC113561658
XM_026968392.1	LOC105279949
XM_026968642.1	LOC113561720
XM_026968407.1	LOC113561668
XM_011348308.3	LOC105284639
XM_011338423.2	LOC105278960
XM_026968291.1	LOC113561635
XM_026968087.1	LOC113561584
XM_026968475.1	LOC113561683
XM_026968393.1	LOC113561656
XM_011342743.1	LOC105281490
XM_011342744.1	LOC105281491
XM_011342745.1	LOC105281493
XM_020034142.2	LOC105286854
XM_011352103.3	LOC105286852
XM_011350552.2	LOC105285975
XM_026968089.1	LOC113561587
XM_026968090.1	LOC113561588
XM_026968091.1	LOC113561589
XM_026968098.1	LOC113561590
XM_026968400.1	LOC105285611
XM_011331254.2	LOC105274815
XM_026968099.1	LOC113561591
XM_026968100.1	LOC113561593
XM_011340068.2	LOC105279943
XM_011340072.3	LOC105279944
XM_026968397.1	LOC105279945
XM_026968102.1	LOC113561594
XM_026968103.1	LOC113561595
XM_026968104.1	LOC113561596
XM_026968105.1	LOC113561597
XM_026968106.1	LOC113561598
XM_011348279.3	LOC105284616
XM_011348283.3	LOC105284621
XM_026968394.1	LOC113561657
XM_011352551.2	LOC105287118
XM_011336979.2	LOC105278128
XM_011336933.3	LOC105278106
XM_011336932.3	LOC105278105
XM_011336923.2	LOC105278103
XM_011336921.3	LOC105278100
XM_011336916.3	LOC105278099
XM_011336915.3	LOC105278098
XM_011336914.3	LOC105278097
XM_026968401.1	LOC105278096
XM_011336911.3	LOC105278095
XM_011336903.3	LOC105278085
XM_026968239.1	LOC113561629
XM_026968238.1	LOC113561628
XM_026968237.1	LOC105278090
XM_011336910.3	LOC105278094
XM_011336902.3	LOC105278084
XM_011336900.3	LOC105278083
XM_011336899.3	LOC105278082
XM_011336898.2	LOC105278081
XM_011336897.3	LOC105278080
XM_011336896.3	LOC105278079
XM_026968109.1	LOC113561601
XM_011335072.2	LOC105276982
XM_026968110.1	LOC113561602
XM_026968111.1	LOC113561603
XM_011335283.2	LOC105277114
XM_011335284.2	LOC105277115
XM_026968119.1	LOC109610820
XM_011335286.2	LOC105277117
XM_026968120.1	LOC113561604
XM_011335289.2	LOC105277120
XM_011341646.2	LOC105280828
XM_026968122.1	LOC113561605
XM_011335290.2	LOC105277121
XM_011335291.1	LOC105277122
XM_026968332.1	LOC113561643
XM_011334773.3	LOC105276839
XM_011334777.3	LOC105276840
XM_026968398.1	LOC105276841
XM_020030888.2	LOC105276843
XM_011334780.3	LOC105276844
XM_026968123.1	LOC105277123
XM_026968124.1	LOC105276846
XM_011334781.1	LOC105276845
XM_026968420.1	LOC113561671
XM_020030892.2	LOC105276848
XM_011334790.3	LOC105276850
XM_011334789.3	LOC105276849
XM_011334791.3	LOC105276852
XM_011334794.3	LOC105276853
XM_011334797.3	LOC105276855
XM_026968421.1	LOC113561672
XM_026968269.1	LOC105277124
XM_026968321.1	LOC105276856
XM_011334811.2	LOC105276858
XM_011334818.3	LOC105276860
XM_020030900.2	LOC105276859
XM_011334822.3	LOC105276861
XM_011334844.3	LOC105276868
XM_011334839.1	LOC105276866
XM_026968543.1	LOC105276864
XM_011334824.3	LOC105276863
XM_011334848.3	LOC105276870
XM_011334847.3	LOC105276869
XM_011334849.2	LOC105276871
XM_026968558.1	LOC105276874
XM_011334859.3	LOC105276876
XM_011334855.2	LOC105276875
XM_011334860.3	LOC105276877
XM_011334862.3	LOC105276878
XM_011334865.3	LOC105276880
XM_011334866.3	LOC105276881
XM_011334867.3	LOC105276882
XM_011334870.3	LOC105276886
XM_011334868.2	LOC105276884
XM_011334874.3	LOC105276887
XM_026968178.1	LOC105276888
XM_011334880.3	LOC105276890
XM_026968288.1	LOC105276892
XM_011334886.3	LOC105276895
XM_011334884.3	LOC105276894
XM_011334894.3	LOC105276898
XM_011334888.3	LOC105276897
XM_026968276.1	LOC105276900
XM_020030861.2	LOC105277125
XM_020030898.2	LOC105276905
XM_011334906.3	LOC105276904
XM_026968280.1	LOC105276902
XM_011334897.3	LOC105276901
XM_011334917.3	LOC105276908
XM_011334916.3	LOC105276907
XM_011334909.3	LOC105276906
XM_011334920.3	LOC105276910
XM_011334919.3	LOC105276909
XM_011334922.3	LOC105276911
XM_011334938.1	LOC105276916
XM_011334936.3	LOC105276915
XM_011334933.3	LOC105276914
XM_011334928.3	LOC105276913
XM_011334923.3	LOC105276912
XM_026968452.1	LOC105276917
XM_011334948.3	LOC105276921
XM_011334946.3	LOC105276920
XM_011334943.3	LOC105276919
XM_011334941.3	LOC105276918
XM_011334957.3	LOC105276924
XM_011334955.2	LOC105276922
XM_026968453.1	LOC105276927
XM_011334962.3	LOC105276925
XM_011334969.3	LOC105276931
XM_011334968.3	LOC105276930
XM_011334967.1	LOC105276928
XM_011334972.3	LOC105276934
XM_011334970.2	LOC105276932
XM_026968455.1	LOC105276935
XM_011334976.3	LOC105276937
XM_011334979.3	LOC105276938
XM_026968430.1	LOC105276940
XM_026968428.1	LOC105276941
XM_011334998.3	LOC105276942
XM_011335012.3	LOC105276948
XM_020030867.2	LOC105276946
XM_011335004.3	LOC105276943
XM_011335013.3	LOC105276949
XM_011335014.2	LOC105276950
XM_011335015.3	LOC105276951
XM_026968172.1	LOC105276952
XM_011335020.3	LOC105276955
XM_026968175.1	LOC105276953
XM_011335021.3	LOC105276956
XM_011335023.2	LOC105276958
XM_011335039.3	LOC105276963
XM_011335033.3	LOC105276962
XM_026968408.1	LOC113561669
XM_011335030.1	LOC105276960
XM_011335028.3	LOC105276959
XM_011335042.2	LOC105276965
XM_011335046.3	LOC105276968
XM_011335045.3	LOC105276967
XM_011335043.3	LOC105276966
XM_011335047.3	LOC105276969
XM_011335050.3	LOC105276970
XM_011335055.3	LOC105276972
XM_026968405.1	LOC105276975
XM_011335057.3	LOC105276974
XM_011335062.3	LOC105276977
XM_011335060.3	LOC105276976
XM_011335067.3	LOC105276979
XM_011335066.3	LOC105276978
XM_011335068.3	LOC105276980
XM_011335070.3	LOC105276981
XM_011335074.2	LOC105276984
XM_026968723.1	LOC105276985
XM_011335082.2	LOC105276986
XM_011335088.3	LOC105276987
XM_011335089.1	LOC105276988
XM_011335090.3	LOC105276989
XM_011335091.2	LOC105276990
XM_011335092.2	LOC105276991
XM_020030911.2	LOC105277126
XM_011335094.2	LOC105276993
XM_026968216.1	LOC105276992
XM_011335095.3	LOC105276995
XM_011335097.3	LOC105276997
XM_020030908.2	LOC105276996
XM_011335098.3	LOC105276998
XM_011335100.3	LOC105276999
XM_011335102.1	LOC105277000
XM_026968125.1	LOC113561607
XM_011335103.3	LOC105277001
XM_011335108.3	LOC105277003
XM_011335105.3	LOC105277002
XM_011335111.3	LOC105277006
XM_011335109.3	LOC105277004
XM_011335116.2	LOC105277007
XM_011335118.3	LOC105277010
XM_011335117.2	LOC105277008
XM_011335124.2	LOC105277014
XM_011335123.2	LOC105277013
XM_011335121.2	LOC105277012
XM_011335120.3	LOC105277011
XM_011335132.3	LOC105277016
XM_011335129.3	LOC105277015
XM_011335134.3	LOC105277018
XM_026968703.1	LOC105277019
XM_011335139.3	LOC105277021
XM_011335138.3	LOC105277020
XM_011335142.3	LOC105277022
XM_011335143.3	LOC105277023
XM_011335145.3	LOC105277026
XM_026968464.1	LOC105277028
XM_020030878.1	LOC105277034
XM_011335153.1	LOC105277032
XM_011335152.2	LOC105277030
XM_011335150.3	LOC105277029
XM_026968146.1	LOC105277036
XM_026968148.1	LOC113561614
XM_011335161.3	LOC105277038
XM_011335160.3	LOC105277037
XM_011335163.3	LOC105277039
XM_011335168.3	LOC105277040
XM_011335169.3	LOC105277041
XM_011335176.2	LOC105277043
XM_011335179.3	LOC105277044
XM_020030916.2	LOC105277045
XM_011335184.3	LOC105277048
XM_011335183.3	LOC105277046
XM_011335185.3	LOC105277049
XM_011335187.3	LOC105277050
XM_011335192.3	LOC105277053
XM_011335188.3	LOC105277051
XM_011335193.3	LOC105277054
XM_011335195.3	LOC105277055
XM_011335199.3	LOC105277058
XM_011335198.3	LOC105277057
XM_011335196.3	LOC105277056
XM_011335205.3	LOC105277064
XM_020030895.2	LOC105277062
XM_011335201.3	LOC105277059
XM_011335207.2	LOC105277066
XM_011335209.3	LOC105277067
XM_011335211.3	LOC105277070
XM_011335219.3	LOC105277071
XM_026968715.1	LOC105277073
XM_011335222.2	LOC105277074
XM_011335224.3	LOC105277076
XM_020030903.2	LOC105277079
XM_011335226.2	LOC105277078
XM_011335225.1	LOC105277077
XM_011335230.3	LOC105277080
XM_011335231.3	LOC105277081
XM_011335232.3	LOC105277082
XM_020030922.2	LOC105277085
XM_011335235.3	LOC105277083
XM_011335240.3	LOC105277086
XM_026968293.1	LOC105277089
XM_011335241.3	LOC105277088
XM_011335242.3	LOC105277090
XM_011335244.3	LOC105277091
XM_011335296.3	LOC105277128
XM_011335245.2	LOC105277092
XM_026968592.1	LOC105277094
XM_011335257.3	LOC105277096
XM_011335256.3	LOC105277095
XM_020030913.2	LOC105277102
XM_011335265.3	LOC105277101
XM_011335258.3	LOC105277098
XM_011335267.3	LOC105277103
XM_011335268.3	LOC105277104
XM_011335271.3	LOC105277107
XM_011335277.3	LOC105277110
XM_011335276.3	LOC105277109
XM_011335272.3	LOC105277108
XM_026968271.1	LOC105277111
XM_026968270.1	LOC105286065
XM_011338027.3	LOC105278724
XM_020031419.2	LOC105278723
XM_011338024.3	LOC105278722
XM_011338021.3	LOC105278720
XM_011338023.3	LOC105278721
XM_011338012.2	LOC105278718
XM_011338020.3	LOC105278719
XM_026968235.1	LOC105278717
XM_011338000.3	LOC105278713
XM_011337998.3	LOC105278712
XM_011337994.3	LOC105278711
XM_020031400.2	LOC105278710
XM_011337990.3	LOC105278709
XM_011337988.3	LOC105278708
XM_020031398.2	LOC105278707
XM_011337980.3	LOC105278706
XM_011337974.3	LOC105278704
XM_011337973.3	LOC105278703
XM_011337968.3	LOC105278701
XM_011337965.3	LOC105278700
XM_026968712.1	LOC105278695
XM_026968713.1	LOC105278694
XM_011337952.3	LOC105278691
XM_011337951.3	LOC105278690
XM_011337950.3	LOC105278689
XM_011337943.3	LOC105278685
XM_011337946.3	LOC105278686
XM_011337947.3	LOC105278687
XM_020031405.2	LOC105278688
XM_011337942.3	LOC105278684
XM_011337941.3	LOC105278683
XM_026968208.1	LOC105278732
XM_020031410.2	LOC109610928
XM_011337940.3	LOC105278682
XM_026968153.1	LOC105286808
XM_011352029.3	LOC105286809
XM_011352023.3	LOC105286807
XM_026968226.1	LOC105286806
XM_011352015.3	LOC105286804
XM_020034129.2	LOC105286803
XM_011352007.3	LOC105286801
XM_011352006.3	LOC105286800
XM_011352004.3	LOC105286798
XM_011352005.3	LOC105286799
XM_026968229.1	LOC105286810
XM_011352003.3	LOC105286797
XM_011352001.3	LOC105286796
XM_011335306.3	LOC105277139
XM_011335305.3	LOC105277137
XM_026968221.1	LOC105277136
XM_011335307.3	LOC105277140
XM_011335309.3	LOC105277143
XM_011335308.3	LOC105277142
XM_011335313.3	LOC105277144
XM_011335317.3	LOC105277145
XM_026968137.1	LOC105277147
XM_011335319.3	LOC105277146
XM_020030949.2	LOC105277170
XM_011335347.3	LOC105277165
XM_011335343.3	LOC105277163
XM_011335342.3	LOC105277162
XM_026968179.1	LOC105277160
XM_026968190.1	LOC113561622
XM_011335331.3	LOC105277156
XM_011335329.3	LOC105277153
XM_026968186.1	LOC105277152
XM_020030956.2	LOC109610831
XM_020030958.2	LOC105277252
XM_011335326.2	LOC105277151
XM_011335324.3	LOC105277150
XM_026968196.1	LOC105277180
XM_026968193.1	LOC113561623
XM_026968195.1	LOC105277179
XM_026968194.1	LOC105277176
XM_026968191.1	LOC105277172
XM_026968334.1	LOC105277181
XM_011335380.3	LOC105277191
XM_011335374.3	LOC105277189
XM_011335383.3	LOC105277194
XM_011335399.3	LOC105277200
XM_011335398.3	LOC105277199
XM_011335397.3	LOC105277198
XM_011335396.3	LOC105277196
XM_011335404.3	LOC105277201
XM_026968364.1	LOC105277204
XM_011335408.3	LOC105277203
XM_026968199.1	LOC105277202
XM_011335414.2	LOC105277207
XM_011335412.3	LOC105277206
XM_011335415.2	LOC105277208
XM_011335416.1	LOC105277209
XM_011335417.2	LOC105277210
XM_011335419.2	LOC105277211
XM_011335420.2	LOC105277212
XM_011335421.3	LOC105277213
XM_011335424.3	LOC105277215
XM_011335422.3	LOC105277214
XM_011335426.3	LOC105277218
XM_011335431.3	LOC105277220
XM_011335438.3	LOC105277221
XM_011335442.3	LOC105277225
XM_011335440.3	LOC105277224
XM_011335439.2	LOC105277222
XM_026968572.1	LOC105277228
XM_011335448.3	LOC105277229
XM_011335449.3	LOC105277230
XM_026968588.1	LOC105277234
XM_026968571.1	LOC105277235
XM_011335476.3	LOC105277241
XM_011335475.3	LOC105277240
XM_026968586.1	LOC105277239
XM_011335499.1	LOC105277253
XM_011335473.3	LOC105277238
XM_011335463.3	LOC105277236
XM_011335478.3	LOC105277243
XM_026968584.1	LOC105277242
XM_011335480.3	LOC105277247
XM_011335483.3	LOC105277248
XM_026968507.1	LOC105277251
XM_011335484.3	LOC105277249
XM_026968503.1	LOC105286441
XM_026968128.1	LOC109611463
XM_020034007.2	LOC109611464
XM_011351395.3	LOC105286442
XM_026968705.1	LOC105286450
XM_011351397.3	LOC105286443
XM_026968539.1	LOC105286444
XM_011351403.3	LOC105286446
XM_011351404.3	LOC105286447
XM_011351405.3	LOC105286448
XM_026968306.1	LOC105286449
XM_011347880.3	LOC105284414
XM_011347879.3	LOC105284413
XM_011347877.3	LOC105284411
XM_011347878.3	LOC105284412
XM_026968211.1	LOC105284410
XM_011347874.3	LOC105284408
XM_011347872.3	LOC105284406
XM_026968118.1	LOC105284404
XM_011347868.3	LOC105284402
XM_011347870.3	LOC105284403
XM_011347863.3	LOC105284400
XM_026968051.1	LOC105284401
XM_011347859.3	LOC105284398
XM_011347862.3	LOC105284399
XM_011347855.2	LOC105284397
XM_011347853.3	LOC105284394
XM_011347854.3	LOC105284396
XM_011347849.3	LOC105284393
XM_026968242.1	LOC105284392
XM_011347847.3	LOC105284390
XM_011347846.2	LOC105284389
XM_011347844.3	LOC105284388
XM_026968135.1	LOC105284387
XM_011347835.3	LOC105284386
XM_011347828.3	LOC105284385
XM_011347827.3	LOC105284384
XM_026968423.1	LOC105284420
XM_020034469.2	LOC105288054
XM_026968472.1	LOC105288061
XM_011354025.3	LOC105288056
XM_011354022.3	LOC105288055
XM_011354026.3	LOC105288057
XM_011354029.3	LOC105288060
XM_011354027.2	LOC105288059
XM_026968376.1	LOC105280674
XM_011341379.3	LOC105280673
XM_011341370.3	LOC105280670
XM_011341373.3	LOC105280671
XM_011341377.3	LOC105280672
XM_026968374.1	LOC105280669
XM_026968377.1	LOC105280668
XM_011341366.2	LOC105280666
XM_026968248.1	LOC105280665
XM_011341360.3	LOC105280664
XM_026968246.1	LOC105280663
XM_011341351.3	LOC105280662
XM_020032095.2	LOC105280660
XM_011341348.3	LOC105280659
XM_011341345.3	LOC105280658
XM_020032097.2	LOC105280656
XM_011341338.2	LOC105280654
XM_011341327.2	LOC105280650
XM_011341331.3	LOC105280651
XM_026968648.1	LOC105280649
XM_026968470.1	LOC105286405
XM_020033988.2	LOC105286402
XM_026968469.1	LOC105286406
XM_011351351.3	LOC105286407
XM_026968129.1	LOC113561608
XM_011338346.3	LOC105278903
XM_011338349.3	LOC105278904
XM_026968220.1	LOC105287296
XM_026968130.1	LOC113561609
XM_026969018.1	LOC105283856
XM_026969100.1	LOC113561820
XM_026969101.1	LOC113561821
XM_026968824.1	LOC113561376
XM_011346346.3	LOC105283526
XM_011346349.3	LOC105283528
XM_011346350.3	LOC105283529
XM_026969090.1	LOC113561814
XM_011346357.3	LOC105283532
XM_011346355.3	LOC105283530
XM_011346358.3	LOC105283533
XM_011346359.3	LOC105283534
XM_011346360.3	LOC105283535
XM_020033043.2	LOC105283536
XM_026969370.1	LOC105283539
XM_020033054.2	LOC105283537
XM_011346369.2	LOC105283540
XM_011346371.3	LOC105283541
XM_011346375.3	LOC105283544
XM_011346374.3	LOC105283543
XM_026968756.1	LOC105283546
XM_011346377.3	LOC105283547
XM_011346378.2	LOC105283548
XM_011346381.3	LOC105283549
XM_011346387.3	LOC105283552
XM_026968958.1	LOC105283551
XM_011346382.2	LOC105283550
XM_011346390.3	LOC105283554
XM_011346392.3	LOC105283555
XM_020033057.2	LOC105283651
XM_020033055.2	LOC105283561
XM_011346395.3	LOC105283558
XM_011346393.3	LOC105283556
XM_011346406.3	LOC105283563
XM_020033061.2	LOC109611257
XM_011346404.2	LOC105283562
XM_026969342.1	LOC113561402
XM_011346409.3	LOC105283564
XM_011346412.3	LOC105283567
XM_011346411.2	LOC105283566
XM_011346410.3	LOC105283565
XM_011346417.3	LOC105283568
XM_026968854.1	LOC113561746
XM_011346420.3	LOC105283569
XM_011346430.3	LOC105283572
XM_011346427.3	LOC105283571
XM_020033068.2	LOC105283573
XM_026969176.1	LOC105283576
XM_011346442.3	LOC105283577
XM_011346444.3	LOC105283581
XM_011346443.1	LOC105283580
XM_011346446.2	LOC105283582
XM_011346449.3	LOC105283585
XM_011346448.3	LOC105283584
XM_020033063.2	LOC105283583
XM_011346458.3	LOC105283588
XM_011346464.3	LOC105283590
XM_011346466.3	LOC105283592
XM_011346465.2	LOC105283591
XM_011346492.3	LOC105283599
XM_026968857.1	LOC105283653
XM_011346483.3	LOC105283597
XM_011346471.3	LOC105283594
XM_011346468.3	LOC105283593
XM_011346497.3	LOC105283602
XM_011346496.2	LOC105283601
XM_011346495.3	LOC105283600
XM_011346500.3	LOC105283606
XM_011346499.3	LOC105283605
XM_011346504.3	LOC105283607
XM_011346506.3	LOC105283608
XM_011346507.3	LOC105283609
XM_011346510.3	LOC105283611
XM_011346509.2	LOC105283610
XM_011346513.3	LOC105283613
XM_020033072.2	LOC105283612
XM_026968724.1	LOC105283614
XM_026968725.1	LOC105283615
XM_011346517.3	LOC105283617
XM_011346516.2	LOC105283616
XM_011346520.3	LOC105283619
XM_026968832.1	LOC105283620
XM_026968830.1	LOC105283621
XM_011346532.3	LOC105283623
XM_011346526.3	LOC105283622
XM_026968858.1	LOC105283624
XM_011346537.3	LOC105283626
XM_011346539.3	LOC105283627
XM_011346542.3	LOC105283628
XM_011346551.3	LOC105283631
XM_026968859.1	LOC105283630
XM_011346546.3	LOC105283629
XM_011346553.2	LOC105283633
XM_011346556.3	LOC105283634
XM_026968860.1	LOC105283655
XM_026969425.1	LOC105283656
XM_026969421.1	LOC105283639
XM_011346566.3	LOC105283637
XM_011346564.3	LOC105283636
XM_011346558.3	LOC105283635
XM_011346570.3	LOC105283641
XM_020033046.2	LOC105283642
XM_026969424.1	LOC105283644
XM_026969423.1	LOC105283643
XM_011346576.3	LOC105283645
XM_011346579.2	LOC105283648
XM_011346578.3	LOC105283647
XM_011346577.3	LOC105283646
XM_011346581.3	LOC105283649
XM_026969099.1	LOC113561819
XM_026969003.1	LOC105285578
XM_011349840.3	LOC105285577
XM_011349839.3	LOC105285576
XM_011349842.3	LOC105285579
XM_011349845.3	LOC105285581
XM_011349854.3	LOC105285582
XM_026969098.1	LOC105285610
XM_011349855.2	LOC105285584
XM_011349858.3	LOC105285586
XM_011349856.3	LOC105285585
XM_011349868.3	LOC105285591
XM_026969097.1	LOC105285589
XM_011349861.2	LOC105285587
XM_011349872.3	LOC105285592
XM_011349875.3	LOC105285594
XM_011349873.3	LOC105285593
XM_011349876.3	LOC105285597
XM_011349880.3	LOC105285598
XM_011349882.3	LOC105285599
XM_011349884.3	LOC105285600
XM_011349887.3	LOC105285601
XM_011349888.3	LOC105285602
XM_011349890.3	LOC105285603
XM_011349893.3	LOC105285604
XM_011349895.3	LOC105285607
XM_011349894.3	LOC105285605
XM_026968821.1	LOC113561733
XM_026968820.1	LOC105283852
XM_011346948.2	LOC105283851
XM_011346939.3	LOC105283850
XM_011346938.3	LOC105283849
XM_011346937.2	LOC105283847
XM_011346936.3	LOC105283846
XM_011346930.3	LOC105283844
XM_011346935.3	LOC105283845
XM_011346927.3	LOC105283843
XM_011346926.3	LOC105283842
XM_011346923.3	LOC105283840
XM_011346911.3	LOC105283834
XM_011346919.3	LOC105283835
XM_011346920.2	LOC105283838
XM_026968983.1	LOC105283839
XM_011346902.3	LOC105283833
XM_011346901.3	LOC105283830
XM_011346899.3	LOC105283828
XM_011346900.3	LOC105283829
XM_011353050.3	LOC105287487
XM_011353052.3	LOC105287488
XM_011346891.2	LOC105283824
XM_011346897.3	LOC105283826
XM_026969415.1	LOC105283822
XM_011346889.3	LOC105283823
XM_011346883.3	LOC105283821
XM_011346881.2	LOC105283820
XM_011346878.3	LOC105283817
XM_026969416.1	LOC105283818
XM_011346880.3	LOC105283819
XM_020033131.2	LOC105283815
XM_026968803.1	LOC105283814
XM_011346873.3	LOC105283812
XM_011346872.2	LOC105283811
XM_011346868.3	LOC105283809
XM_011346863.3	LOC105283807
XM_011346866.3	LOC105283808
XM_011346951.2	LOC105283854
XM_011346858.3	LOC105283806
XM_011346857.3	LOC105283805
XM_020033126.2	LOC105283804
XM_011346854.3	LOC105283803
XM_026968903.1	LOC105283853
XM_026968906.1	LOC105283802
XM_011346850.1	LOC105283801
XM_026968904.1	LOC105283798
XM_011346849.3	LOC105283799
XM_011346846.3	LOC105283797
XM_011346841.3	LOC105283795
XM_026969388.1	LOC105283794
XM_026968899.1	LOC105283792
XM_026969179.1	LOC113561830
XM_026969244.1	LOC105287090
XM_026969198.1	LOC105285366
XM_011350390.3	LOC105285860
XM_026969203.1	LOC105285862
XM_026969205.1	LOC105285865
XM_011350392.3	LOC105285863
XM_020033812.2	LOC109611394
XM_026969217.1	LOC105285871
XM_026969210.1	LOC113561384
XM_011350398.3	LOC105285867
XM_026969204.1	LOC105285870
XM_011350399.3	LOC105285869
XM_026969190.1	LOC105286972
XM_011352311.3	LOC105286970
XM_011352287.3	LOC105286963
XM_026969206.1	LOC105286964
XM_026969199.1	LOC105286966
XM_026969212.1	LOC113561831
XM_026969218.1	LOC105286967
XM_026969215.1	LOC113561832
XM_011344648.3	LOC105282591
XM_026969034.1	LOC105282593
XM_011344656.3	LOC105282599
XM_011344647.3	LOC105282590
XM_026968985.1	LOC105282589
XM_011344645.1	LOC105282588
XM_011344644.1	LOC105282587
XM_020032703.2	LOC109611176
XM_011344640.3	LOC105282584
XM_011344643.3	LOC105282586
XM_026968980.1	LOC113561786
XM_026968908.1	LOC113561754
XM_026968909.1	LOC113561755
XM_026968910.1	LOC113561756
XM_011341846.2	LOC105280960
XM_026968911.1	LOC113561757
XM_026968912.1	LOC113561758
XM_011341750.3	LOC105280885
XM_011341593.3	LOC105280780
XM_011341611.3	LOC105280798
XM_011341644.2	LOC105280824
XM_011341699.2	LOC105280851
XM_011341713.3	LOC105280863
XM_020032107.1	LOC109610669
XM_026969079.1	LOC113561813
XM_026969078.1	LOC105280935
XM_026969072.1	LOC105280875
XM_011341517.2	LOC105280751
XM_011341541.3	LOC105280760
XM_011341561.3	LOC105280771
XM_020032189.2	LOC109611076
XM_020032051.2	LOC105280928
XM_011341398.3	LOC105280683
XM_026969076.1	LOC105280696
XM_011341437.2	LOC105280710
XM_011341489.3	LOC105280718
XM_011341344.2	LOC105280652
XM_011341322.2	LOC105280646
XM_011341303.3	LOC105280635
XM_011341310.3	LOC105280641
XM_011341283.3	LOC105280619
XM_011341292.3	LOC105280626
XM_011341259.2	LOC105280602
XM_020032136.2	LOC105280539
XM_026968918.1	LOC105280574
XM_011341145.3	LOC105280531
